Nickname,Kills,Deaths,Assists,ADR
arT,27,38,7,57
arT,32,35,8,159
arT,56,39,8,100
arT,34,26,6,76
arT,33,39,8,68
arT,32,37,9,132
arT,41,40,8,84
arT,46,38,5,85
