Nickname,Kills,Deaths,Assists,ADR
KSCERATO,62,34,11,115
arT,33,39,8,68
yuurih,32,40,7,69
FalleN,23,33,9,53
chelo,23,40,4,58
adamS,41,36,6,88
alex,38,35,10,81
Martinez,38,32,8,71
JUST,35,38,8,76
mopoz,33,34,7,64
