Nickname,Kills,Deaths,Assists,ADR
blameF,42,23,11,89
Buzz,37,33,9,73
dev1ce,35,22,10,69
Staehr,34,38,5,67
b0RUP,30,37,9,69
KSCERATO,39,34,8,88
chelo,35,41,4,79
yuurih,28,33,10,71
arT,27,38,7,57
FalleN,21,34,8,42
