Nickname,Kills,Deaths,Assists,ADR
mzinho,40,34,9,88
Techno,41,37,12,87
bLitz,41,34,10,71
hasteka,37,43,6,74
910,31,28,4,62
arT,46,38,5,85
chelo,38,41,7,80
FalleN,39,41,14,70
yuurih,28,38,6,66
KSCERATO,24,36,9,58
