Nickname,Kills,Deaths,Assists,ADR
REZ,35,40,10,74
k0nfig,36,37,5,70
Brollan,33,40,6,74
headtr1ck,31,27,6,53
hampus,27,37,5,56
yuurih,44,28,5,79
arT,41,40,8,84
FalleN,38,30,6,67
chelo,32,37,5,65
KSCERATO,26,28,10,62
