Nickname,Kills,Deaths,Assists,ADR
KSCERATO,43,22,9,91
chelo,38,25,11,92
yuurih,36,25,4,79
arT,34,26,6,76
FalleN,27,22,9,65
INS,27,38,10,82
Liazz,26,36,7,76
Sico,22,36,9,52
aliStair,23,33,5,48
Vexite,20,35,7,59
