Nickname,Kills,Deaths,Assists,ADR
Aleksib,29,37,9,129
FalleN,43,30,7,166
KSCERATO,45,37,8,173
arT,32,37,9,132
b1t,29,34,10,133
chelo,32,31,7,110
iM,40,40,4,141
jL,33,34,7,123
s1mple,39,39,7,153
yuurih,32,35,7,145
