Nickname,Kills,Deaths,Assists,ADR
Anlelele,32,47,16,149
Cabbi,49,45,5,172
Enzo,45,46,8,141
IceBerg,52,43,8,187
Lucky,47,41,13,160
darchevile,30,45,13,120
hotd0g,49,44,7,171
kwezz,38,37,8,129
maaryy,40,40,9,148
tomiko,49,43,11,172
