Nickname,Kills,Deaths,Assists,ADR
FreeZe,38,23,13,105
slaxz-,35,18,5,89
PerX,36,19,6,87
awzek,35,20,11,90
Spiidi,30,21,8,63
kwezz,26,34,9,82
IceBerg,19,36,4,51
Cabbi,18,34,6,63
Anlelele,16,36,2,48
Lucky,19,34,2,51
