Nickname,Kills,Deaths,Assists,ADR
arT,56,39,8,100
KSCERATO,39,25,8,76
yuurih,35,34,11,89
FalleN,34,35,6,70
chelo,36,31,6,69
Anlelele,36,39,10,85
kwezz,37,38,3,76
IceBerg,32,41,10,70
Cabbi,29,42,8,72
Lucky,30,40,8,59
