Nickname,Kills,Deaths,Assists,ADR
CRUC1AL,36,34,7,66
Thomas,28,37,8,68
misutaaa,29,35,7,67
rallen,29,33,8,67
Bymas,25,32,6,60
Lucky,48,24,8,89
Anlelele,35,26,10,73
kwezz,27,26,9,70
IceBerg,29,33,8,69
Cabbi,31,38,10,74
